行號 23: 控制項 ImageList1 的物件類別 MSComctlLib.ImageList 尚未被載入。
行號 81: 控制項 TBar1 的物件類別 MSComctlLib.Toolbar 尚未被載入。
行號 612: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 685: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 737: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 754: 控制項 lblName 的物件類別 MSForms.Label 尚未被載入。
行號 770: 控制項 lstUsers 的物件類別 MSForms.ListBox 尚未被載入。
行號 789: 控制項 textCUID1 的物件類別 MSForms.TextBox 尚未被載入。
行號 804: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 819: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 835: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 850: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 865: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 880: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 895: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 911: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 926: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 941: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 956: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 971: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 1192: 控制項 lblName 的物件類別 MSForms.Label 尚未被載入。
行號 1468: 控制項 txtXYS03 的物件類別 MSForms.TextBox 尚未被載入。
行號 1493: 控制項 LblSourceN 的物件類別 MSForms.Label 尚未被載入。
行號 1517: 控制項 lstUsers 的物件類別 MSForms.ListBox 尚未被載入。
行號 1536: 控制項 lstUsers 的物件類別 MSForms.ListBox 尚未被載入。
行號 1555: 控制項 txtPCU47N 的物件類別 MSForms.TextBox 尚未被載入。
行號 1569: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1584: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1599: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
行號 1614: 控制項 txtPCU 的物件類別 MSForms.TextBox 尚未被載入。
