幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,30.77500,31.12500,31.10300,31.05900,31.00800,30.95100,30.90000,30.85000,30.79700,本行賣出,31.44500,31.22500,31.20600,31.16900,31.11900,31.06400,31.02700,30.98200,30.93800,
HKD,本行買入,3.83100,3.96700,3.96400,3.95900,3.95200,3.94700,3.94100,3.93600,3.93000,本行賣出,4.04700,4.02700,4.02500,4.02200,4.01500,4.01000,4.00600,4.00200,3.99800,
GBP,本行買入,37.85000,38.85000,38.84200,38.82700,38.80600,38.79300,38.77200,38.75200,38.73100,本行賣出,39.97000,39.27000,39.27000,39.27000,39.25200,39.23700,39.23100,39.22600,39.22000,
AUD,本行買入,21.42000,21.69000,21.68100,21.66400,21.64300,21.62400,21.60800,21.58500,21.55800,本行賣出,22.20000,21.92000,21.91700,21.91100,21.89300,21.87200,21.86400,21.85000,21.83100,
CAD,本行買入,23.36000,23.75000,23.73900,23.71700,23.68300,23.65900,23.62700,23.59400,23.56100,本行賣出,24.27000,23.97000,23.96300,23.95000,23.92200,23.90000,23.87600,23.85200,23.82800,
SGD,本行買入,22.34000,22.83000,22.81700,22.79100,22.75800,22.73200,22.70200,22.67200,22.64100,本行賣出,23.25000,23.01000,23.00300,22.98800,22.95800,22.93300,22.91200,22.89100,22.87000,
CHF,本行買入,30.67000,31.33000,31.33600,31.34700,31.37800,31.40900,31.44200,31.47600,31.50900,本行賣出,31.87000,31.62000,31.63700,31.67200,31.70300,31.73400,31.78000,31.82600,31.87200,
JPY,本行買入,0.27850,0.28580,0.28580,0.28590,0.28600,0.28600,0.28620,0.28640,0.28660,本行賣出,0.29130,0.28980,0.28990,0.29010,0.29020,0.29040,0.29080,0.29110,0.29140,
ZAR,本行買入,0.00000,2.15000,2.14500,2.13600,2.12400,2.11300,2.10100,2.08900,2.07700,本行賣出,0.00000,2.23000,2.22600,2.21900,2.20700,2.19600,2.18400,2.17300,2.16200,
SEK,本行買入,2.92000,3.26000,3.26000,3.26000,3.26100,3.26300,3.26400,3.26400,3.26500,本行賣出,3.44000,3.36000,3.36100,3.36300,3.36500,3.36600,3.36800,3.37100,3.37300,
NZD,本行買入,20.26000,20.64000,20.62800,20.60500,20.57800,20.55700,20.53000,20.50200,20.47500,本行賣出,21.11000,20.84000,20.83600,20.82800,20.80300,20.78100,20.76200,20.74400,20.72600,
THB,本行買入,0.88900,0.99760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.07700,1.03760,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.53390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.66690,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.20000,34.82000,34.82400,34.83300,34.85200,34.86700,34.89100,34.91400,34.93700,本行賣出,35.54000,35.22000,35.23400,35.26200,35.28600,35.30800,35.35000,35.39100,35.43300,
KRW,本行買入,0.02469,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02859,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00097,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.41200,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,8.05600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.42700,4.49900,4.49570,4.48910,4.48080,4.47080,4.46100,4.45110,4.44120,本行賣出,4.58900,4.54900,4.54690,4.54260,4.53590,4.52850,4.52200,4.51550,4.50900,
