行號 45: 控制項 cboGov 的物件類別 MSForms.ComboBox 尚未被載入。
行號 61: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 76: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 92: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 107: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 123: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 138: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 153: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 168: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 183: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 198: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 213: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 228: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 243: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 258: 控制項 lbeCusName 的物件類別 MSForms.Label 尚未被載入。
行號 280: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 309: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 360: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 374: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
