行號 40: 控制項 ImageList1 的物件類別 MSComctlLib.ImageList 尚未被載入。
行號 98: 控制項 tlbar 的物件類別 MSComctlLib.Toolbar 尚未被載入。
行號 507: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 532: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 547: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 562: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 577: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 592: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 607: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 622: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 637: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 652: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 675: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 697: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 719: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 741: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 771: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 856: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 871: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 886: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 901: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 916: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 931: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 946: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 961: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 976: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 992: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1006: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1021: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1035: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1096: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1118: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1166: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1221: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1268: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1283: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1298: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1313: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1328: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1343: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1358: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1373: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1388: 控制項 Text 的物件類別 MSForms.TextBox 尚未被載入。
行號 1403: 控制項 cboContact 的物件類別 MSForms.ComboBox 尚未被載入。
行號 1528: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1575: 控制項 lbe 的物件類別 MSForms.Label 尚未被載入。
行號 1616: 控制項 UIDname 的物件類別 MSForms.Label 尚未被載入。
行號 1630: 控制項 IDname 的物件類別 MSForms.Label 尚未被載入。
