行號 75: 控制項 Combo1 的物件類別 MSForms.ComboBox 尚未被載入。
行號 91: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 125: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 158: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 239: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 254: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 269: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 284: 控制項 lbl3 的物件類別 MSForms.Label 尚未被載入。
行號 610: 控制項 lbl1 的物件類別 MSForms.Label 尚未被載入。
行號 624: 控制項 lbl1 的物件類別 MSForms.Label 尚未被載入。
行號 638: 控制項 lbl1 的物件類別 MSForms.Label 尚未被載入。
行號 652: 控制項 lbl1 的物件類別 MSForms.Label 尚未被載入。
