行號 116: 控制項 lstUsers 的物件類別 MSForms.ListBox 尚未被載入。
行號 133: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 148: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 163: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 179: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 194: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 209: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 224: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 239: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 254: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 270: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 285: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 300: 控制項 txtPCC 的物件類別 MSForms.TextBox 尚未被載入。
行號 315: 控制項 textCUID1 的物件類別 MSForms.TextBox 尚未被載入。
行號 800: 控制項 textName 的物件類別 MSForms.TextBox 尚未被載入。
